Date,Coord-System,Altitude,Latitude,Longitude,D_deg,D_min,I_deg,I_min,H_nT,X_nT,Y_nT,Z_nT,F_nT,dD_min,dI_min,dH_nT,dX_nT,dY_nT,dZ_nT,dF_nT
2017,D,K600,-23.9250698904388,-153.008333990079,14d,57m,-41d,29m,22429,21670.2,5784.6,-19837.2,29942.9,0.7,2.1,-13.4,-14.1,1,36.4,-34.1
2017,D,K600,-27.6086181193676,-153.898419392494,16d,18m,-46d,30m,21673.4,20802.7,6081.5,-22840,31486.5,1,1.8,-12.8,-14.1,2.5,37.7,-36.2
2017,D,K600,-31.2865306948305,-154.832610960537,17d,50m,-51d,0m,20817,19817.6,6372.7,-25710.2,33081.1,1.3,1.6,-12.1,-14,4,39.2,-38.1
2017,D,K600,-34.9578721278596,-155.821843222311,19d,34m,-55d,3m,19876.7,18728.9,6656.6,-28441,34698.3,1.7,1.4,-11.4,-14,5.5,40.9,-40
2017,D,K600,-38.6215540783143,-156.879827214809,21d,34m,-58d,42m,18864.9,17545,6932.2,-31031.6,36315.9,2.1,1.3,-10.3,-13.9,7.1,42.8,-41.9
2017,D,K600,-42.2762595073658,-158.024126470657,23d,52m,-62d,1m,17787.8,16266.4,7198,-33484.3,37915.7,2.6,1.2,-8.8,-13.5,8.8,45,-43.8
2017,D,K600,-45.9203286139566,-159.277740198559,26d,35m,-65d,4m,16645.4,14884.7,7450.8,-35798.8,39479.4,3.1,1.2,-6.7,-12.8,10.5,47.3,-45.7
2017,D,K600,-49.5515836647481,-160.671497613268,29d,52m,-67d,53m,15433.2,13384,7684.6,-37968.8,40985.5,3.7,1.3,-3.8,-11.6,12.5,49.6,-47.4
2017,D,K600,-53.1670524617429,-162.247789005206,33d,54m,-70d,31m,14147.7,11743.7,7889.4,-39977.5,42407,4.3,1.4,0,-9.8,14.6,51.7,-48.7
2017,D,K600,-56.7625170369742,-164.066575775667,38d,60m,-72d,59m,12792.4,9942.2,8049.8,-41796.6,43710.4,4.8,1.6,4.9,-7.5,17,53.3,-49.5
2017,D,K600,-60.3317473008828,-166.215435598807,45d,39m,-75d,18m,11387.7,7960.9,8142.7,-43387.2,44856.8,5.2,1.8,10.7,-4.8,19.6,54.1,-49.6
2017,D,K600,-63.8651376004751,-168.827053188801,54d,34m,-77d,25m,9982.9,5788,8133.7,-44702.3,45803.4,5,2.1,17.2,-1.9,22.5,53.8,-48.8
2017,D,K600,-67.3471458537731,-172.111050888008,66d,46m,-79d,15m,8672.7,3420.5,7969.7,-45691.6,46507.4,3.8,2.4,23.8,0.6,25.6,52.3,-46.9
2017,D,K600,-70.751176786221,-176.414513281215,83d,27m,-80d,40m,7613.9,867.9,7564.2,-46307.1,46928.9,0.5,2.7,29,2.1,29,49.4,-44.1
2017,D,K600,-74.0286513753262,177.659258694611,105d,13m,-81d,26m,7012.5,-1839.9,6766.8,-46510.2,47035.9,-5.1,2.7,30.7,2,32.3,45.4,-40.3
2017,D,K600,-77.0842229940124,169.023377529814,131d,2m,-81d,22m,7025.5,-4612.9,5298.9,-46277.7,46807.9,-10.9,2.4,27.4,-1.1,35.3,40.3,-35.8
2017,D,K600,-79.7193504525118,155.781740751143,159d,34m,-80d,31m,7620.1,-7140.4,2660.9,-45607.5,46239.7,-14.1,2,20.8,-8.5,36.6,34.7,-30.8
2017,D,K600,-81.5328734718621,135.579066434426,-168d,36m,-79d,5m,8591.3,-8421.9,-1697.7,-44521.1,45342.5,-14.6,1.5,14,-20.9,33,28.9,-25.7
2017,D,K600,-81.9492589846477,109.55183405083,-134d,22m,-77d,18m,9708.7,-6789.4,-6939.9,-43063.2,44144,-13.7,1.1,8.9,-33.9,20.8,23.3,-20.8
2017,D,K600,-80.7769216601434,85.751202515638,-104d,55m,-75d,21m,10799,-2780.9,-10434.8,-41297.2,42685.8,-12.6,0.8,5.5,-39.5,4.9,18.2,-16.2
2017,D,K600,-78.4907684942985,69.2095332527338,-84d,30m,-73d,21m,11752.8,1126,-11698.7,-39299.5,41019.2,-11.5,0.6,3.6,-38.9,-7.3,13.8,-12.2
2017,D,K600,-75.6112908270007,58.5314564425454,-71d,9m,-71d,24m,12508.4,4040.2,-11838,-37152.3,39201.4,-10.7,0.5,2.7,-36.1,-15.1,10.1,-8.8
2017,D,K600,-72.4266695563059,51.4085143221627,-62d,12m,-69d,32m,13038.9,6081.6,-11533.8,-34937.2,37291,-10.2,0.4,2.3,-33.1,-20,7.1,-5.9
